Latitude,Longitude,Depth
60.0,-63.75,0.54724462890625
60.0,-63.0,0.639712158203125
60.0,-62.25,0.6167581176757813
60.0,-61.5,0.5784533081054688
60.0,-60.75,0.5443507690429688
60.0,-60.0,1.93602001953125
60.0,-59.25,2.309869873046875
60.0,-58.5,2.49880712890625
60.0,-57.75,2.638042724609375
60.0,-57.0,2.7053740234375
60.0,-56.25,2.745276611328125
60.0,-55.5,2.809013916015625
60.0,-54.75,2.84801953125
60.0,-54.0,2.90144140625
60.0,-53.25,3.008678955078125
60.0,-52.5,3.006833251953125
60.0,-51.75,2.9502158203125
60.0,-51.0,2.8615537109375
60.0,-41.25,0.9041063232421876
60.0,-40.5,1.95343310546875
60.0,-39.75,2.25062890625
60.0,-39.0,2.3991005859375
60.0,-38.25,2.534386474609375
60.0,-37.5,2.75774365234375
60.0,-36.75,2.774482421875
60.0,-36.0,2.829279052734375
60.0,-35.25,2.927166015625
60.0,-34.5,2.971728759765625
60.0,-33.75,2.93758740234375
60.0,-33.0,2.29941015625
60.0,-32.25,2.348539794921875
60.0,-31.5,2.382235107421875
60.0,-30.75,2.14334375
60.0,-30.0,1.9203746337890624
60.0,-29.25,1.7845660400390626
60.0,-28.5,1.4201241455078124
60.0,-27.75,1.056731201171875
60.0,-27.0,0.8733060913085937
60.0,-26.25,1.4208502197265624
60.0,-25.5,1.4902366943359375
60.0,-24.75,1.89510986328125
60.0,-24.0,1.574666015625
60.0,-23.25,1.733802001953125
60.0,-22.5,1.6874588623046876
60.0,-21.75,1.5891424560546874
60.0,-21.0,1.5336851806640626
60.0,-20.25,1.6593375244140625
60.0,-19.5,1.7253240966796874
60.0,-18.75,1.4023785400390625
60.0,-18.0,1.1713861083984376
60.0,-17.25,1.668632568359375
60.0,-16.5,1.723818359375
60.0,-15.75,1.690392822265625
60.0,-15.0,1.73837744140625
60.0,-14.25,1.657382568359375
60.0,-13.5,1.2111781005859374
60.0,-12.75,0.6094793090820313
60.0,-9.75,0.5536217041015625
60.0,-9.0,0.6248737182617188
60.0,-8.25,0.805937255859375
60.0,-7.5,1.265702880859375
60.0,-6.75,1.781078125
60.0,-6.0,2.54531298828125
60.0,-5.25,2.838618408203125
60.0,-4.5,2.929236083984375
60.0,-3.75,2.99104345703125
60.0,-3.0,2.804524658203125
60.0,-2.25,2.81134716796875
60.0,-1.5,2.628431640625
60.0,-0.75,2.4312041015625
60.0,0.0,2.41498095703125
60.0,0.75,2.298690673828125
60.0,1.5,2.019970458984375
60.0,2.25,1.617725830078125
60.0,3.0,1.6028233642578125
60.0,3.75,1.5341697998046877
60.0,4.5,1.3998138427734377
60.0,5.25,0.7863943481445312
60.25,-63.0,0.5270191040039063
60.25,-62.25,0.6040285034179688
60.25,-61.5,0.5633314208984375
60.25,-60.75,0.5425134887695312
60.25,-60.0,1.72155419921875
60.25,-59.25,2.22863525390625
60.25,-58.5,2.41700634765625
60.25,-57.75,2.568799072265625
60.25,-57.0,2.688928466796875
60.25,-56.25,2.703778076171875
60.25,-55.5,2.754626708984375
60.25,-54.75,2.80872802734375
60.25,-54.0,2.867035888671875
60.25,-53.25,2.951389404296875
60.25,-52.5,2.961181884765625
60.25,-51.75,2.866341552734375
60.25,-51.0,2.648363525390625
60.25,-40.5,1.794933349609375
60.25,-39.75,1.915016845703125
60.25,-39.0,2.16872998046875
60.25,-38.25,2.4008349609375
60.25,-37.5,2.600033935546875
60.25,-36.75,2.73171337890625
60.25,-36.0,2.823079345703125
60.25,-35.25,2.904570068359375
60.25,-34.5,2.901590087890625
60.25,-33.75,2.9573173828125
60.25,-33.0,2.930296630859375
60.25,-32.25,2.5938408203125
60.25,-31.5,2.5297607421875
60.25,-30.75,2.1529775390625
60.25,-30.0,2.145013427734375
60.25,-29.25,1.71769482421875
60.25,-28.5,1.5570211181640623
60.25,-27.75,1.496643310546875
60.25,-27.0,0.7287800903320313
60.25,-26.25,1.3328607177734375
60.25,-25.5,1.483331298828125
60.25,-24.75,1.490137451171875
60.25,-24.0,1.5317216796875
60.25,-23.25,1.7340281982421877
60.25,-22.5,1.6839901123046874
60.25,-21.75,1.5764344482421877
60.25,-21.0,1.5062396240234377
60.25,-20.25,1.67703662109375
60.25,-19.5,1.7000145263671875
60.25,-18.75,1.4968533935546875
60.25,-18.0,1.171597900390625
60.25,-17.25,1.6905682373046875
60.25,-16.5,1.7691822509765625
60.25,-15.75,1.687775390625
60.25,-15.0,1.7193134765625
60.25,-14.25,1.63842724609375
60.25,-13.5,1.1840797119140625
60.25,-12.75,0.6046633911132813
60.25,-9.75,0.5548680419921875
60.25,-9.0,0.6230984497070312
60.25,-8.25,0.8119859008789062
60.25,-7.5,1.2720177001953126
60.25,-6.75,1.8043770751953123
60.25,-6.0,2.5591220703125
60.25,-5.25,2.82853662109375
60.25,-4.5,2.9428564453125
60.25,-3.75,2.98972509765625
60.25,-3.0,2.814692138671875
60.25,-2.25,2.81134716796875
60.25,-1.5,2.628431640625
60.25,-0.75,2.4312041015625
60.25,0.0,2.41498095703125
60.25,0.75,2.298690673828125
60.25,1.5,2.019970458984375
60.25,2.25,1.617725830078125
60.25,3.0,1.6034161376953124
60.25,3.75,1.5325518798828126
60.25,4.5,1.4075216064453124
60.25,5.25,0.8005706787109375
60.5,-63.75,0.5252432250976562
60.5,-61.5,0.5176196899414063
60.5,-60.75,0.6795358276367187
60.5,-60.0,1.543643310546875
60.5,-59.25,2.111574462890625
60.5,-58.5,2.360743896484375
60.5,-57.75,2.52603857421875
60.5,-57.0,2.56850830078125
60.5,-56.25,2.651757568359375
60.5,-55.5,2.686150390625
60.5,-54.75,2.7319443359375
60.5,-54.0,2.83327294921875
60.5,-53.25,2.855833740234375
60.5,-52.5,2.887575439453125
60.5,-51.75,2.7815322265625
60.5,-51.0,1.731009765625
60.5,-40.5,1.719460205078125
60.5,-39.75,1.431516845703125
60.5,-39.0,2.2939501953125
60.5,-38.25,2.419513916015625
60.5,-37.5,2.569025634765625
60.5,-36.75,2.691507080078125
60.5,-36.0,2.80253515625
60.5,-35.25,2.876017578125
60.5,-34.5,2.881219482421875
60.5,-33.75,2.92726318359375
60.5,-33.0,2.948089111328125
60.5,-32.25,2.787526123046875
60.5,-31.5,2.367529052734375
60.5,-30.75,2.2271953125
60.5,-30.0,2.0163433837890623
60.5,-29.25,1.8725072021484368
60.5,-28.5,1.6842535400390626
60.5,-27.75,1.4589901123046876
60.5,-27.0,0.860999755859375
60.5,-26.25,0.8352838134765626
60.5,-25.5,1.2286278076171877
60.5,-24.75,1.444241943359375
60.5,-24.0,1.5459591064453124
60.5,-23.25,1.6432760009765626
60.5,-22.5,1.6293582763671874
60.5,-21.75,1.572411376953125
60.5,-21.0,1.4954578857421874
60.5,-20.25,1.6538134765625
60.5,-19.5,1.66122998046875
60.5,-18.75,1.580842041015625
60.5,-18.0,1.1518204345703125
60.5,-17.25,1.7020828857421877
60.5,-16.5,1.7153214111328126
60.5,-15.75,1.6902830810546876
60.5,-15.0,1.6989212646484375
60.5,-14.25,1.6248846435546875
60.5,-13.5,1.141367919921875
60.5,-12.75,0.5889654541015625
60.5,-9.75,0.5563245849609375
60.5,-9.0,0.624105712890625
60.5,-8.25,0.820158935546875
60.5,-7.5,1.28098046875
60.5,-6.75,1.8362618408203124
60.5,-6.0,2.5741943359375
60.5,-5.25,2.829328369140625
60.5,-4.5,2.954626953125
60.5,-3.75,2.992099365234375
60.5,-3.0,2.835167724609375
60.5,-2.25,2.809963134765625
60.5,-1.5,2.623656982421875
60.5,-0.75,2.4276748046875
60.5,0.0,2.41498095703125
60.5,0.75,2.301372314453125
60.5,1.5,2.0234903564453126
60.5,2.25,1.621021728515625
60.5,3.0,1.5944246826171875
60.5,3.75,1.5300648193359374
60.5,4.5,1.40864501953125
60.5,5.25,0.806097900390625
60.75,-60.75,0.7837144165039063
60.75,-60.0,1.4510460205078124
60.75,-59.25,1.81132275390625
60.75,-58.5,2.299634765625
60.75,-57.75,2.487200927734375
60.75,-57.0,2.521594482421875
60.75,-56.25,2.56246875
60.75,-55.5,2.630963623046875
60.75,-54.75,2.6145458984375
60.75,-54.0,2.71509130859375
60.75,-53.25,2.7819072265625
60.75,-52.5,2.786960205078125
60.75,-51.75,2.6208486328125
60.75,-51.0,1.804504760742188
60.75,-40.5,0.8432525024414063
60.75,-39.75,1.7780999755859377
60.75,-39.0,1.921144409179688
60.75,-38.25,2.36513427734375
60.75,-37.5,2.556493408203125
60.75,-36.75,2.54921435546875
60.75,-36.0,2.746553466796875
60.75,-35.25,2.8472978515625
60.75,-34.5,2.876589599609375
60.75,-33.75,2.88345458984375
60.75,-33.0,2.9544921875
60.75,-32.25,2.67616845703125
60.75,-31.5,2.292850341796875
60.75,-30.75,2.2053818359375
60.75,-30.0,1.946393310546875
60.75,-29.25,1.9301302490234369
60.75,-28.5,1.585748291015625
60.75,-27.75,1.5214974365234375
60.75,-27.0,1.4404349365234377
60.75,-26.25,0.7398043823242187
60.75,-25.5,0.8151235961914063
60.75,-24.75,1.326995849609375
60.75,-24.0,1.386919677734375
60.75,-23.25,1.448038818359375
60.75,-22.5,1.5504483642578124
60.75,-21.75,1.4952889404296874
60.75,-21.0,1.473522705078125
60.75,-20.25,1.6850252685546876
60.75,-19.5,1.625095458984375
60.75,-18.75,1.6204320068359377
60.75,-18.0,1.191365234375
60.75,-17.25,1.7163406982421876
60.75,-16.5,1.7290213623046875
60.75,-15.75,1.6940272216796874
60.75,-15.0,1.6802332763671874
60.75,-14.25,1.6105648193359374
60.75,-13.5,1.1204166259765624
60.75,-12.75,0.5779595947265626
60.75,-9.75,0.5596803588867187
60.75,-9.0,0.6292416381835938
60.75,-8.25,0.824593017578125
60.75,-7.5,1.2994385986328123
60.75,-6.75,1.8708927001953124
60.75,-6.0,2.586419677734375
60.75,-5.25,2.81025537109375
60.75,-4.5,2.986753662109375
60.75,-3.75,2.988130615234375
60.75,-3.0,2.839346923828125
60.75,-2.25,2.809963134765625
60.75,-1.5,2.623656982421875
60.75,-0.75,2.4276748046875
60.75,0.0,2.41498095703125
60.75,0.75,2.301372314453125
60.75,1.5,2.0234903564453126
60.75,2.25,1.621021728515625
60.75,3.0,1.5781163330078125
60.75,3.75,1.5258585205078126
60.75,4.5,1.424160888671875
60.75,5.25,0.8252383422851562
60.75,9.75,0.55874951171875
61.0,-60.75,0.8727733154296875
61.0,-60.0,1.3315047607421877
61.0,-59.25,1.455697021484375
