Numobs,Datetime,Y_meters,X_meters,Latitude,Longitude,Depth,Surf_DH,Surf_DH_err,ug,vg
690,2018-09-01,2504258.5604359005,3154258.5604359005,82.74210246392259,-10.257249739444704,3.152333251953125,0.1399892825519598,0.0233983764011579,-0.0056312239268485,0.002913042011079
697,2018-09-01,2504258.5604359005,3204258.5604359005,82.80867062273856,-6.727355614890584,3.925069580078125,0.1457265063862481,0.0380519483048011,0.0012746962613411,-0.0026762881673553
698,2018-09-01,2504258.5604359005,3254258.5604359005,82.84745884896145,-3.1454682011948267,2.607978271484375,0.1360504127482194,0.0290445784552913,-0.0088427563356754,-0.0078745175554137
698,2018-09-01,2504258.5604359005,3304258.5604359005,82.85801691659958,0.4611678408200595,3.633917724609375,0.1341360825540056,0.0174955570297754,0.0023301667034298,0.0003407693828033
698,2018-09-01,2504258.5604359005,3354258.5604359005,82.84022058849787,4.064157641904053,3.977793701171875,0.1365519992722303,0.018592079374219,-0.0016858858447392,0.0030703892979135
697,2018-09-01,2504258.5604359005,3404258.5604359005,82.79427885464321,7.635277265943614,3.934968505859375,0.1386552869980071,0.0276221867792921,-0.0079753536215317,-0.00334622113613
695,2018-09-01,2504258.5604359005,3454258.5604359005,82.72072179574464,11.14777520386314,3.189556640625,0.1316272995454299,0.0282732906675243,-0.0037592984105266,-0.0098795693196107
696,2018-09-01,2504258.5604359005,3504258.5604359005,82.62037067655048,14.577508069820889,1.4141754150390624,0.1241176770142911,0.0241380104990326,-0.0131181260688917,-0.0098371293167157
696,2018-09-01,2504258.5604359005,3554258.5604359005,82.49429406867304,17.903798097921342,1.874598876953125,0.1171553659179435,0.0210638186855649,-0.0136869317783949,0.0117283534647569
695,2018-09-01,2554258.5604359005,3154258.5604359005,83.18494129451612,-10.930831526997938,3.498279052734375,0.1449744030028583,0.0198276758106073,-0.0094105255540178,2.8444611531147136e-05
697,2018-09-01,2554258.5604359005,3204258.5604359005,83.25585651798701,-7.17513041724736,2.394952392578125,0.140278163526949,0.0227954344962849,-0.0034311471609841,-0.0014085385688577
698,2018-09-01,2554258.5604359005,3254258.5604359005,83.29721892191617,-3.356499069882729,3.241247314453125,0.1428994062201985,0.0278620930240359,-0.0027047990949655,-0.0026747603483199
698,2018-09-01,2554258.5604359005,3304258.5604359005,83.30848302596334,0.4921749904312472,3.5222607421875,0.1363374929163234,0.0208730667787574,-0.0013736595197841,-0.003923301598347
706,2018-09-01,2554258.5604359005,3354258.5604359005,83.28949795599125,4.336419246606751,3.5107275390625,0.137119152864084,0.0320796409664264,-0.0023028179058518,0.0041816353375083
717,2018-09-01,2554258.5604359005,3404258.5604359005,83.2405174229676,8.141997194313214,4.01499560546875,0.1424981155311554,0.0351611328780187,0.0019286709958041,6.279917346121004e-05
728,2018-09-01,2554258.5604359005,3454258.5604359005,83.16218300449302,11.876698596713728,3.787304443359375,0.1372116629300906,0.0209714802207714,-0.0057162086327924,-0.0025321001160494
728,2018-09-01,2554258.5604359005,3504258.5604359005,83.05548322945884,15.511871812798429,4.02083349609375,0.1387686560963737,0.0174149288400655,-0.0109878532469166,0.0020599249266595
727,2018-09-01,2554258.5604359005,3554258.5604359005,82.92169431642624,19.02353013027208,4.026392822265625,0.1402449930859462,0.0241825238837081,-0.0149558257354829,-0.0001679016647334
725,2018-09-01,2554258.5604359005,3604258.560435901,82.7623103280922,22.39295413373856,3.99450048828125,0.1385214837545098,0.0307679263992618,0.0008290606982644,-0.0032571577410395
714,2018-09-01,2554258.5604359005,3654258.560435901,82.57897071734358,25.606804452822978,3.996781982421875,0.1354517050848671,0.0211284510439852,-0.0024121551293995,-0.0036773789956071
683,2018-09-01,2604258.5604359005,3104258.5604359005,83.52028293708476,-15.596334267202732,3.394971923828125,0.1503856755506343,0.0294700934493222,-0.0082934960336917,0.0037817873527475
695,2018-09-01,2604258.5604359005,3154258.5604359005,83.62660469021854,-11.697781085403928,3.8320205078125,0.1538504346137462,0.0310426934082625,-0.0053631024833258,0.000268236532026
697,2018-09-01,2604258.5604359005,3204258.5604359005,83.70246885856169,-7.6863804835996,3.407413818359375,0.150781120776856,0.025251788654388,-0.0111826796662111,-0.0093696271957741
699,2018-09-01,2604258.5604359005,3254258.5604359005,83.7467715585851,-3.597842726796847,2.88060693359375,0.1400353388399616,0.020579642055592,-0.0016793627572178,-0.0099155109298253
715,2018-09-01,2604258.5604359005,3304258.5604359005,83.75884339092786,0.5276521725973109,2.67988720703125,0.1361599137202704,0.0328421975537967,-0.0018211663806517,-6.150595242093356e-05
731,2018-09-01,2604258.5604359005,3354258.5604359005,83.73849867869528,4.647692350579396,3.514279296875,0.1399446413664317,0.0310535181291971,-0.0019123236822092,-0.000234491236068
732,2018-09-01,2604258.5604359005,3404258.5604359005,83.68604952628118,8.720199077017234,3.5725625,0.135814143217077,0.027008115882325,0.0045001843345076,6.911378242418916e-05
732,2018-09-01,2604258.5604359005,3454258.5604359005,83.6022822878641,12.705942145077303,4.00690771484375,0.1400465433508481,0.0230241295409501,-0.0019446085124125,0.0030414586598136
732,2018-09-01,2604258.5604359005,3504258.5604359005,83.48840045780472,16.57064229784809,4.0011513671875,0.1402977747307825,0.0247387123648891,-0.0007398020522848,-0.0005932266635796
732,2018-09-01,2604258.5604359005,3554258.5604359005,83.34594323399034,20.286404577815485,3.980875732421875,0.139172220113026,0.027447649165518,0.0009604366607473,-0.0001023797756126
730,2018-09-01,2604258.5604359005,3604258.560435901,83.17669168326088,23.832385018265512,4.004836669921875,0.1401469258040804,0.027959274993046,-0.0008775270452394,0.0004363740180609
