Datetime,Latitude,Longitude,Dynamic_Height,DH_error
2011-01-01,68.5,-118.5,nan,nan
2011-01-01,69.5,-141.0,0.645789931078719,0.08561314052768856
2011-01-01,69.5,-140.25,0.6563618685141787,0.09149802889850375
2011-01-01,69.5,-139.5,0.653856708724499,0.08257632771877073
2011-01-01,69.5,-138.75,0.653859220976775,0.08191382868089438
2011-01-01,69.5,-138.0,0.6616497283743418,0.09075785592400967
2011-01-01,69.5,-137.25,0.6602233957634918,0.07985892465504002
2011-01-01,69.5,-123.0,0.5728611796885017,0.06259974535667127
2011-01-01,69.75,-143.25,0.6516116885956887,0.0883984619534417
2011-01-01,69.75,-142.5,0.6551909240737105,0.08392906490952397
2011-01-01,69.75,-141.75,0.6534804750428342,0.09724532001336418
2011-01-01,69.75,-141.0,0.6531931532983442,0.08218023681976314
2011-01-01,69.75,-140.25,0.6650527330286279,0.09991888862925567
2011-01-01,69.75,-139.5,0.6613874378583666,0.08114539078561005
2011-01-01,69.75,-138.75,0.6631770101980189,0.08308098437006162
2011-01-01,69.75,-138.0,0.670805964613472,0.09400874013569999
2011-01-01,69.75,-137.25,0.6709019487670387,0.09673629689265319
2011-01-01,69.75,-136.5,0.6549996823902112,0.0802488308634256
2011-01-01,69.75,-135.75,0.6633136462918031,0.08327631270583326
2011-01-01,69.75,-123.75,0.6355857381303442,0.03661481404306237
2011-01-01,69.75,-122.25,0.5728611798895065,0.06259974535667127
2011-01-01,70.0,-147.0,0.6528560735055554,0.08241798362038115
2011-01-01,70.0,-146.25,0.66191352556541,0.10319515496819445
2011-01-01,70.0,-145.5,0.6447558592058167,0.0878151057846204
2011-01-01,70.0,-144.75,0.6607338915828185,0.08811511857290259
2011-01-01,70.0,-144.0,0.6526041106138281,0.09074026130678522
2011-01-01,70.0,-143.25,0.6649960680266851,0.10814907544679364
2011-01-01,70.0,-142.5,0.659875402236287,0.09813806056058544
2011-01-01,70.0,-141.75,0.6518152959160258,0.07910924599658736
2011-01-01,70.0,-141.0,0.6676003547288358,0.08976890540746986
2011-01-01,70.0,-140.25,0.6605685140521627,0.08667877667271008
2011-01-01,70.0,-139.5,0.6655492947683211,0.08539919766335763
2011-01-01,70.0,-138.75,0.6534134304537775,0.07098199527381789
2011-01-01,70.0,-138.0,0.6492143195057992,0.08689374703163345
2011-01-01,70.0,-137.25,0.6441589185647665,0.08790872873438743
2011-01-01,70.0,-136.5,0.6483660351828044,0.0848853055405254
2011-01-01,70.0,-135.75,0.6510622041654236,0.08535690638078736
2011-01-01,70.25,-148.5,0.6508438282337052,0.09650333398585613
2011-01-01,70.25,-147.75,0.6525801929101468,0.08374178925804142
2011-01-01,70.25,-147.0,0.6591668182100733,0.08132788399254778
2011-01-01,70.25,-146.25,0.6476652033299606,0.09144661010560416
2011-01-01,70.25,-145.5,0.640461042401355,0.0907107038799947
2011-01-01,70.25,-144.75,0.655271558491011,0.09201227803798759
2011-01-01,70.25,-144.0,0.6561132593854991,0.09232840942942405
2011-01-01,70.25,-143.25,0.6519532926230175,0.0843714777972809
2011-01-01,70.25,-142.5,0.6537971701761135,0.07633841113763581
2011-01-01,70.25,-141.75,0.6606143535475458,0.09279112516541961
2011-01-01,70.25,-141.0,0.6604068297915071,0.09251451873178448
2011-01-01,70.25,-140.25,0.6604261755898888,0.08529761733880263
2011-01-01,70.25,-139.5,0.6515870994940136,0.07636808258216643
2011-01-01,70.25,-138.75,0.6573002289559551,0.07212633266579564
2011-01-01,70.25,-138.0,0.6500632049429768,0.07075021928762129
2011-01-01,70.25,-137.25,0.6454128110374217,0.0750462137336983
2011-01-01,70.25,-136.5,0.6423875674817006,0.07384413481636842
2011-01-01,70.25,-135.75,0.6499905258375911,0.07956432809542707
2011-01-01,70.25,-135.0,0.6477381254158657,0.08331707466052997
2011-01-01,70.25,-134.25,0.6504148010544776,0.0903671913758237
2011-01-01,70.25,-133.5,0.647642990045724,0.0789180283273782
2011-01-01,70.5,-151.5,0.6484606295783545,0.08505977418152376
2011-01-01,70.5,-150.75,0.6499177677206502,0.0921922225166165
2011-01-01,70.5,-150.0,0.6465368675784519,0.07644376360758458
2011-01-01,70.5,-149.25,0.6540903930355164,0.07949141995962705
2011-01-01,70.5,-148.5,0.6539508299690071,0.08824011561318411
2011-01-01,70.5,-147.75,0.657457546436252,0.08329451464264977
2011-01-01,70.5,-147.0,0.6649727414939774,0.08841061696641177
2011-01-01,70.5,-146.25,0.6642522164949659,0.08647910878720025
2011-01-01,70.5,-145.5,0.6486651226229858,0.08788471893478753
2011-01-01,70.5,-144.75,0.6564482612692402,0.08585930523220063
2011-01-01,70.5,-144.0,0.6396504511140054,0.07724679387182586
2011-01-01,70.5,-143.25,0.6602155829686148,0.09111064875475315
2011-01-01,70.5,-142.5,0.6496177808427617,0.07799297145874812
2011-01-01,70.5,-141.75,0.672056435215661,0.08887179496077406
2011-01-01,70.5,-141.0,0.6510886490883544,0.08981042700301631
2011-01-01,70.5,-140.25,0.6607622034751282,0.08336461607343051
2011-01-01,70.5,-139.5,0.6573999111558754,0.07411917516554954
2011-01-01,70.5,-138.75,0.6553632326579155,0.07896849431164292
2011-01-01,70.5,-138.0,0.6521287855251973,0.07577228769591884
2011-01-01,70.5,-137.25,0.6484920705475073,0.07255355145655316
2011-01-01,70.5,-136.5,0.6484268659078524,0.07189213014143095
2011-01-01,70.5,-135.75,0.6435841858080491,0.06778504859308844
2011-01-01,70.5,-135.0,0.6489827863950508,0.07448598465418725
2011-01-01,70.5,-134.25,0.6483355637286766,0.08449199058982457
