Datetime,Latitude,Longitude,Dynamic_height
2011-01-29,78.4865,-146.8912,0.6371521703413142
2011-01-29,78.4888,-146.8545,0.6410226923012545
2011-01-30,78.5191,-146.7796,0.636325797636478
2011-01-30,78.5416,-146.7861,0.6286312055777553
2011-01-31,78.6104,-146.8303,0.626764903093369
2011-01-31,78.6191,-146.8495,0.6250928087067549
2011-02-01,78.6597,-146.632,0.2929898977936948
2011-02-02,78.6352,-146.5297,0.6249211199128866
2011-02-02,78.6236,-146.5591,0.6281500796282905
2011-02-03,78.6098,-146.8713,0.6274810083340593
2011-02-03,78.6109,-146.961,0.626271291000402
2011-02-04,78.6283,-147.2707,0.6235679500023663
2011-02-04,78.6289,-147.307,0.629552049659476
2011-02-05,78.6065,-147.0612,0.6271125980535605
2011-02-05,78.6022,-146.9058,0.6294335138114381
2011-02-06,78.6104,-146.5123,0.6272184640163161
2011-02-06,78.6389,-146.5133,0.6258570684307266
2011-02-07,78.5537,-146.4038,0.630408988850971
2011-02-07,78.5228,-146.2403,0.6297925423835744
2011-02-08,78.477,-145.813,0.632073781110003
2011-02-08,78.4854,-145.7632,0.6372970559541897
2011-02-09,78.5098,-145.754,0.6288205120104385
2011-02-09,78.5126,-145.7766,0.6327123607428654
2011-02-10,78.4879,-145.9267,nan
2011-02-10,78.4714,-145.9458,nan
2011-02-11,78.4147,-145.875,0.6335448319766642
2011-02-11,78.3992,-145.8107,0.6410122260065929
2011-02-12,78.3533,-145.7088,0.633289661175677
2011-02-12,78.34,-145.6637,0.6380916751312893
2011-02-13,78.3137,-145.6403,0.6356591755153926
2011-02-13,78.3123,-145.6327,0.6358495112620152
2011-02-14,78.3248,-145.6054,0.632601594026042
2011-02-14,78.3301,-145.648,0.6283034449996301
2011-02-15,78.3298,-145.7871,0.6337206778719192
2011-02-15,78.3225,-145.7753,0.6329907756280168
2011-02-16,78.3022,-145.6275,0.6324903626073092
2011-02-16,78.2888,-145.5639,0.6319113090039054
2011-02-17,78.2781,-145.4541,0.6243845141923746
2011-02-17,78.2797,-145.4528,0.6324864076299677
2011-02-18,78.3026,-145.4651,0.630932026804157
2011-02-18,78.319,-145.4865,0.6263927249693615
2011-02-19,78.3858,-145.6715,0.6296923014355951
2011-02-19,78.4023,-145.7404,0.6248562311803892
2011-02-20,78.4256,-145.8127,0.6280285243760203
2011-02-20,78.4316,-145.7908,0.6281949951933407
2011-02-21,78.4444,-145.7034,0.6262449355916819
2011-02-21,78.4471,-145.6851,0.6292680584700218
2011-02-22,78.455,-145.5932,0.625775715980555
2011-02-22,78.4565,-145.5262,0.6252437607662721
2011-02-23,78.4642,-145.2017,0.6261514277239828
2011-02-23,78.4659,-145.0973,0.6254092853917611
