Latitude,Longitude,Depth
60.0,-179.25,0.06257902145385742
60.0,-178.5,0.08255003356933592
60.0,-177.75,0.08507366943359375
60.0,-177.0,0.08831066131591797
60.0,-176.25,0.08281543731689453
60.0,-175.5,0.07997469329833984
60.0,-174.75,0.08036063385009766
60.0,-174.0,0.0690996322631836
60.0,-173.25,0.06360507202148437
60.0,-172.5,0.04938785552978516
60.0,-171.75,-0.006068081378936768
60.0,-171.0,9.18201133608818e-05
60.0,-170.25,-0.006519462585449219
60.0,-169.5,0.028398839950561524
60.0,-168.75,0.0309815731048584
60.0,-168.0,0.03485272979736328
60.0,-167.25,0.02325927543640137
60.0,-166.5,0.025624223709106445
60.0,-165.75,0.01768252372741699
60.0,-165.0,0.003939713954925537
60.0,-164.25,-0.002853315114974976
60.0,-163.5,-0.00734349250793457
60.0,-162.75,-0.12247313690185548
60.0,-162.0,-0.10443165588378908
60.0,-161.25,-0.04956721496582031
60.0,-160.5,-0.059170677185058584
60.0,-159.75,-0.015000402450561525
60.0,-159.0,-0.2772166442871093
60.0,-158.25,-0.226762451171875
60.0,-157.5,-0.2614548645019531
60.0,-156.75,-0.0791662826538086
60.0,-156.0,-0.1643768310546875
60.0,-155.25,-0.3299818725585937
60.0,-154.5,-0.5636824340820312
60.0,-153.75,-0.5090867309570313
60.0,-153.0,-1.016264404296875
60.0,-152.25,-1.3426895751953123
60.0,-151.5,-0.265347412109375
60.0,-150.75,-1.2293851318359377
60.0,-150.0,-0.0478170280456543
60.0,-149.25,-0.2989027099609375
60.0,-148.5,-0.3261802673339844
60.0,-147.75,-2.897040283203125
60.0,-147.0,-2.3493173828125
60.0,-146.25,-1.308670166015625
60.0,-145.5,-0.8853600463867187
60.0,-144.75,-1.1957294921875
60.0,-144.0,-0.38852279663085937
60.0,-143.25,-0.60387646484375
60.0,-142.5,-1.1358983154296876
60.0,-141.75,-2.980008056640625
60.0,-141.0,-1.767001953125
60.0,-140.25,-1.8990010986328123
60.0,-139.5,-1.2087303466796877
60.0,-138.75,-1.5209349365234377
60.0,-138.0,-1.5057269287109376
60.0,-137.25,-0.9680911254882812
60.0,-136.5,-1.0919248046875
60.0,-135.75,-0.7504508056640625
60.0,-135.0,-1.0340101318359376
60.0,-134.25,-1.3414852294921875
60.0,-133.5,-0.76961767578125
60.0,-132.75,-1.31191552734375
60.0,-132.0,-1.4328592529296875
60.0,-131.25,-1.437442138671875
60.0,-130.5,-1.31487255859375
60.0,-129.75,-0.84962109375
60.0,-129.0,-1.34460791015625
60.0,-128.25,-0.891432861328125
60.0,-127.5,-1.6365052490234375
60.0,-126.75,-1.04554345703125
60.0,-126.0,-0.9813309936523438
60.0,-125.25,-0.7174218139648437
60.0,-124.5,-1.533964599609375
60.0,-123.75,-0.3298268127441406
60.0,-123.0,-0.3955783081054687
60.0,-122.25,-0.2352748260498047
60.0,-121.5,-0.2200622100830078
60.0,-120.75,-0.1919692840576172
60.0,-120.0,-0.2098233795166016
60.0,-119.25,-0.21289476013183595
60.0,-118.5,-0.19788253784179688
60.0,-117.75,-0.14854475402832032
60.0,-117.0,-0.18877378845214846
60.0,-116.25,-0.187
60.0,-115.5,-0.156
60.0,-114.75,-0.156
60.0,-114.0,-0.156
60.0,-113.25,-0.16
60.0,-112.5,-0.1566022186279297
60.0,-111.75,-0.1679996337890625
60.0,-111.0,-0.3327962036132813
60.0,-110.25,-0.31877825927734377
60.0,-109.5,-0.3892126770019531
60.0,-108.75,-0.423657958984375
60.0,-108.0,-0.3754417724609375
60.0,-107.25,-0.4185599670410156
60.0,-106.5,-0.36361032104492186
60.0,-105.75,-0.379765625
60.0,-105.0,-0.3343222045898437
60.0,-104.25,-0.23869244384765625
60.0,-103.5,-0.3710968933105469
60.0,-102.75,-0.2892437438964844
60.0,-102.0,-0.2569979248046875
60.0,-101.25,-0.2352472381591797
60.0,-100.5,-0.23399999999999999
60.0,-99.75,-0.2493493194580078
60.0,-99.0,-0.15271095275878907
60.0,-98.25,-0.26501290893554685
60.0,-97.5,-0.12594306182861328
60.0,-96.75,-0.12239159393310547
60.0,-96.0,-0.10129314422607423
60.0,-95.25,-0.08392525482177735
60.0,-94.5,-0.04955166244506836
60.0,-93.75,-0.06088943481445312
60.0,-93.0,-0.013515299797058105
60.0,-92.25,-0.04710198593139649
60.0,-91.5,-0.07282516479492188
60.0,-90.75,-0.06740839385986327
60.0,-90.0,-0.0007216796875
60.0,-89.25,0.0029882123470306395
60.0,-88.5,0.031007116317749026
60.0,-87.75,0.13008741760253906
60.0,-87.0,0.00033842882513999934
60.0,-86.25,-0.016053375244140626
60.0,-85.5,-0.04061583709716797
60.0,-84.75,-0.11468708038330078
60.0,-84.0,-0.0100621337890625
60.0,-83.25,0.06154267120361327
60.0,-82.5,-0.0047446775436401365
60.0,-81.75,-0.034553005218505864
60.0,-81.0,-0.031342815399169915
60.0,-80.25,0.1539330596923828
60.0,-79.5,0.18203334045410155
60.0,-78.75,0.006776159763336182
60.0,-78.0,-0.24582937622070314
60.0,-77.25,0.19939419555664065
60.0,-76.5,0.13730337524414066
60.0,-75.75,0.15776246643066405
60.0,-75.0,0.0950215835571289
60.0,-74.25,0.30479678344726563
60.0,-73.5,0.346357421875
60.0,-72.75,0.3467315673828125
60.0,-72.0,0.31307479858398435
60.0,-71.25,0.34025222778320313
60.0,-70.5,0.3107318115234375
60.0,-69.75,0.2462190093994141
60.0,-69.0,0.2291493530273437
