Latitude,Longitude,Dynamic_Height
70.0,-155.0,0.8174044971435745
70.0,-154.5,0.8439712799608653
70.0,-154.0,0.8378774003194254
70.0,-153.5,0.8253476770953153
70.0,-153.0,0.8380282114413193
70.0,-152.5,0.8541835222418089
70.0,-152.0,0.8472172853485573
70.0,-151.5,0.8441767098295506
70.0,-151.0,0.8341223078941304
70.0,-150.5,0.8196460172813355
70.0,-150.0,0.7887555632055581
70.0,-149.5,0.8136363151093772
70.0,-149.0,0.7936590225247127
70.0,-148.5,0.7972771281216994
70.0,-148.0,0.791248724263603
70.0,-147.5,0.7814169401746189
70.0,-147.0,0.779671973360146
70.0,-146.5,0.7467417080386672
70.0,-146.0,0.7271250108311567
70.0,-145.5,0.7674680622729874
70.0,-145.0,0.7531842597177039
70.0,-144.5,0.7373573060626961
70.0,-144.0,0.6883703406050498
70.0,-143.5,0.6343854068722837
70.0,-143.0,0.622428360024761
70.0,-142.5,0.6153698676281232
70.0,-142.0,0.6075597381522151
70.0,-141.5,0.6059177069441435
70.0,-141.0,0.6012001545997498
70.0,-140.5,0.5952293604250898
70.0,-140.0,0.5585912052092057
70.0,-139.5,0.5623873679557856
70.0,-139.0,0.5568563069066143
70.0,-138.5,0.5663009564492614
70.0,-138.0,0.5545172693495984
70.0,-137.5,0.5353340171697328
70.0,-137.0,0.5665143042396672
70.0,-136.5,0.6291882171336879
70.0,-136.0,0.6661038397461441
70.0,-135.5,0.7064880264661798
70.0,-135.0,0.70968537548895
70.0,-134.5,0.7146948885470826
70.0,-134.0,0.7108137886790126
70.0,-133.5,0.7063637375271418
70.0,-133.0,0.7191514916599531
70.0,-132.5,0.7160596878395066
70.0,-132.0,0.7161467196454463
70.0,-131.5,0.7442568721674224
70.0,-131.0,0.7347634768940823
70.0,-130.5,0.6757047989825251
70.0,-130.0,0.6416520990528024
70.0,-129.5,0.6416769245974208
70.0,-129.0,0.6416936815082136
70.0,-128.5,0.6363036364707987
70.0,-128.0,0.6227971856866321
70.0,-127.5,0.6227556200989194
70.0,-127.0,0.6226178635743204
70.0,-126.5,0.622482473424357
70.0,-126.0,0.6093281231906602
70.0,-125.5,0.6070119349560584
70.0,-125.0,0.6004333618035277
70.25,-155.0,0.8293228159995215
70.25,-154.5,0.8392391259799545
70.25,-154.0,0.8380525526675449
70.25,-153.5,0.8441424215858436
70.25,-153.0,0.8324364277916871
70.25,-152.5,0.8717369061514296
70.25,-152.0,0.8512882779366382
70.25,-151.5,0.81991741417088
70.25,-151.0,0.817151260334511
70.25,-150.5,0.7957720324693289
70.25,-150.0,0.8182038466270876
70.25,-149.5,0.7955318038623577
70.25,-149.0,0.8300737030938207
70.25,-148.5,0.776344586922179
70.25,-148.0,0.7254061273831206
70.25,-147.5,0.7285974695812691
70.25,-147.0,0.707395126716827
70.25,-146.5,0.678281418337001
70.25,-146.0,0.6749041705279337
70.25,-145.5,0.6713496754900019
70.25,-145.0,0.6531084285408927
70.25,-144.5,0.6431893745853297
70.25,-144.0,0.6385771099719564
70.25,-143.5,0.6374955011425976
70.25,-143.0,0.6348966486251532
70.25,-142.5,0.6361979885958668
70.25,-142.0,0.6289397333507466
70.25,-141.5,0.6206952205085112
70.25,-141.0,0.5945036879504427
70.25,-140.5,0.5888730446395375
70.25,-140.0,0.5709536357242626
70.25,-139.5,0.5503107609046034
70.25,-139.0,0.5575759804489404
70.25,-138.5,0.5421318702117068
70.25,-138.0,0.5154299462383402
70.25,-137.5,0.5243601148903768
70.25,-137.0,0.5716596885565509
70.25,-136.5,0.579291959118915
70.25,-136.0,0.603297324316677
70.25,-135.5,0.6199789374645956
70.25,-135.0,0.6704590328704323
70.25,-134.5,0.6672521101192166
70.25,-134.0,0.674419114171037
70.25,-133.5,0.6986277513396706
70.25,-133.0,0.7113277882515551
70.25,-132.5,0.7081055887498175
70.25,-132.0,0.7152773976061029
70.25,-131.5,0.7115337691701978
70.25,-131.0,0.7147958961389356
70.25,-130.5,0.718657460235429
70.25,-130.0,0.7060143643933284
70.25,-129.5,0.7303982851266517
70.25,-129.0,0.6716799039455196
70.25,-128.5,0.6416922063858536
70.25,-128.0,0.6416802811269727
70.25,-127.5,0.636177314972254
70.25,-127.0,0.6225135815523498
70.25,-126.5,0.6222058341497158
70.25,-126.0,0.622506612133002
70.25,-125.5,0.6170345777628287
70.25,-125.0,0.6095937114115771
70.5,-155.0,0.8297614109217887
70.5,-154.5,0.8339612066829811
70.5,-154.0,0.844834665859963
70.5,-153.5,0.8430097187590447
70.5,-153.0,0.8536464558272588
70.5,-152.5,0.8425210781431137
70.5,-152.0,0.8492211215278378
70.5,-151.5,0.8279724503757981
70.5,-151.0,0.8101223868485659
70.5,-150.5,0.7738597082579379
70.5,-150.0,0.7501439908096206
70.5,-149.5,0.7379264910619275
70.5,-149.0,0.7229071506214434
70.5,-148.5,0.7047838317091443
70.5,-148.0,0.6357381604182099
70.5,-147.5,0.6627326841038522
70.5,-147.0,0.6352675843400154
70.5,-146.5,0.6452726097434385
70.5,-146.0,0.6623801792983505
70.5,-145.5,0.6564091474895152
70.5,-145.0,0.6481018201636404
70.5,-144.5,0.6526939893243117
70.5,-144.0,0.6420250186693822
70.5,-143.5,0.645043228879004
70.5,-143.0,0.6426296829082936
70.5,-142.5,0.631986194854463
70.5,-142.0,0.6264850296891624
70.5,-141.5,0.6156479738699825
70.5,-141.0,0.6012232109122885
70.5,-140.5,0.5903140014723975
70.5,-140.0,0.5781627912700693
70.5,-139.5,0.5620152056337553
70.5,-139.0,0.5531068252982828
70.5,-138.5,0.540754607428285
