Datetime,Latitude,Longitude,Dynamic_Height,DH_error
2011-01-01,68.5,-118.5,nan,nan
2011-01-01,69.5,-141.0,0.6338947931071436,0.07698330231074531
2011-01-01,69.5,-140.25,0.6312290007534468,0.08613469404825506
2011-01-01,69.5,-139.5,0.650474500867638,0.09067905444539541
2011-01-01,69.5,-138.75,0.6257396210211332,0.06691538696920417
2011-01-01,69.5,-138.0,0.6204490220852074,0.07918434615244256
2011-01-01,69.5,-137.25,0.6304903394022955,0.07904630716223018
2011-01-01,69.5,-123.0,0.5728611796885017,0.06259974535667127
2011-01-01,69.75,-143.25,0.6417906070111906,0.08930567101747938
2011-01-01,69.75,-142.5,0.640060737801762,0.10117448314667571
2011-01-01,69.75,-141.75,0.6377311166052387,0.07829213505805756
2011-01-01,69.75,-141.0,0.6243718512995735,0.07456332212903267
2011-01-01,69.75,-140.25,0.6456672908347737,0.08179906678925204
2011-01-01,69.75,-139.5,0.6279278304803908,0.07356933117021092
2011-01-01,69.75,-138.75,0.6218977946929782,0.07122658190319411
2011-01-01,69.75,-138.0,0.6252910193339284,0.07668336541210409
2011-01-01,69.75,-137.25,0.6534830166325606,0.08994656202038752
2011-01-01,69.75,-136.5,0.6414743008910114,0.08151888192619898
2011-01-01,69.75,-135.75,0.6277690437684221,0.08244145769502634
2011-01-01,69.75,-123.75,0.6355857381303442,0.03661481404306237
2011-01-01,69.75,-122.25,0.5728611798895065,0.06259974535667127
2011-01-01,70.0,-147.0,0.6359876565799778,0.09844455865806163
2011-01-01,70.0,-146.25,0.623900013825088,0.09295365443101694
2011-01-01,70.0,-145.5,0.6068994028191804,0.09734407584815626
2011-01-01,70.0,-144.75,0.6090928551713849,0.08900483101952093
2011-01-01,70.0,-144.0,0.6246341003898731,0.09815559752083952
2011-01-01,70.0,-143.25,0.6305793154362069,0.08972060192976453
2011-01-01,70.0,-142.5,0.6242444819708797,0.08606856347178146
2011-01-01,70.0,-141.75,0.6262779620831552,0.09559192944139057
2011-01-01,70.0,-141.0,0.6337676826132749,0.08478933222961084
2011-01-01,70.0,-140.25,0.6305582859749101,0.07381058179411332
2011-01-01,70.0,-139.5,0.6285442594373983,0.08265484759684343
2011-01-01,70.0,-138.75,0.6298998455651205,0.07289214770968287
2011-01-01,70.0,-138.0,0.6298223293203402,0.06947078446791566
2011-01-01,70.0,-137.25,0.624502693089752,0.07318387315423519
2011-01-01,70.0,-136.5,0.6206398243270747,0.07036630058602315
2011-01-01,70.0,-135.75,0.6204451671785571,0.06671792632570639
2011-01-01,70.25,-148.5,0.6258247853640977,0.08595244492850453
2011-01-01,70.25,-147.75,0.6121451166422909,0.0793248793929041
2011-01-01,70.25,-147.0,0.6215095932605567,0.1056594121014144
2011-01-01,70.25,-146.25,0.6246191441816992,0.08445203416063052
2011-01-01,70.25,-145.5,0.6320094246835429,0.0991907235822442
2011-01-01,70.25,-144.75,0.6289457707852646,0.07206868705759036
2011-01-01,70.25,-144.0,0.6151584011779301,0.08268109976396666
2011-01-01,70.25,-143.25,0.6093686650618018,0.08363092748828074
2011-01-01,70.25,-142.5,0.626505426990111,0.09221103547330872
2011-01-01,70.25,-141.75,0.6520657151873384,0.09372169023515409
2011-01-01,70.25,-141.0,0.6320599866854812,0.08378240307578469
2011-01-01,70.25,-140.25,0.6288400652778108,0.07650639814663619
2011-01-01,70.25,-139.5,0.6318091420040773,0.07892964603279601
2011-01-01,70.25,-138.75,0.6205728753800465,0.06177825461757453
2011-01-01,70.25,-138.0,0.6224355756312665,0.0640613453768101
2011-01-01,70.25,-137.25,0.6197914036659999,0.0745112248400077
2011-01-01,70.25,-136.5,0.6290667550057488,0.07230929987183125
2011-01-01,70.25,-135.75,0.610684300119322,0.06314173710003715
2011-01-01,70.25,-135.0,0.627514761361506,0.07956649546118427
2011-01-01,70.25,-134.25,0.6206924181612284,0.06626503751445915
2011-01-01,70.25,-133.5,0.6299843899446864,0.07657036347694694
2011-01-01,70.5,-151.5,0.49251194858001096,0.11165547079089823
2011-01-01,70.5,-150.75,0.5263772193543201,0.11061435716689896
2011-01-01,70.5,-150.0,0.5397638862908283,0.10483407799024419
2011-01-01,70.5,-149.25,0.5675477361815673,0.08214358857540278
2011-01-01,70.5,-148.5,0.624285615214932,0.06379817746880728
2011-01-01,70.5,-147.75,0.6344319837723859,0.09359626844099128
2011-01-01,70.5,-147.0,0.6252512718076525,0.08907643791017393
2011-01-01,70.5,-146.25,0.6198374428298435,0.07216964944515869
2011-01-01,70.5,-145.5,0.6329733668774807,0.07833184618708643
2011-01-01,70.5,-144.75,0.6160361787179645,0.06536513120174674
2011-01-01,70.5,-144.0,0.6206155576719781,0.08750698305873716
2011-01-01,70.5,-143.25,0.6217735851168389,0.08264926681455993
2011-01-01,70.5,-142.5,0.6257018665910641,0.06466867374528958
2011-01-01,70.5,-141.75,0.6353492174361547,0.09197650427985411
2011-01-01,70.5,-141.0,0.6299621672746454,0.06993272939787294
2011-01-01,70.5,-140.25,0.6423240508171172,0.07448193681601428
2011-01-01,70.5,-139.5,0.6296034101332126,0.07071084333093271
2011-01-01,70.5,-138.75,0.6235370984108628,0.07317838755338762
2011-01-01,70.5,-138.0,0.6486644479312915,0.088923649262395
2011-01-01,70.5,-137.25,0.6444783888631562,0.09736432813272645
2011-01-01,70.5,-136.5,0.6322956988043017,0.0744115385091483
2011-01-01,70.5,-135.75,0.6248235000252931,0.07692979643492033
2011-01-01,70.5,-135.0,0.6219702569629131,0.0666975173991932
2011-01-01,70.5,-134.25,0.62273130544369,0.06876935045018717
