Datetime,Latitude,Longitude,Pressure,Depth,Temperature,Salinity
1987-06-16 01:45:00,80.0,2.5,18.0,17.81,3.245,34.948
1987-06-16 01:45:00,80.0,2.5,43.0,42.54,3.516,35.036
1987-06-16 01:45:00,80.0,2.5,68.0,67.27,3.433,35.043
1987-06-16 01:45:00,80.0,2.5,140.0,138.47,3.042,35.044
1987-06-16 01:45:00,80.0,2.5,191.0,188.89,2.724,35.031
1987-06-16 01:45:00,80.0,2.5,288.0,284.75,2.403,35.023
1987-06-16 01:45:00,80.0,2.5,386.0,381.56,1.877,35.003
1987-06-16 01:45:00,80.0,2.5,584.0,577.01,1.422,34.985
1987-06-16 01:45:00,80.0,2.5,780.0,770.3,0.664,34.94
1987-06-16 01:45:00,80.0,2.5,978.0,965.38,-0.143,34.908
1987-06-16 01:45:00,80.0,2.5,1175.0,1159.29,-0.405,34.914
1987-06-16 01:45:00,80.0,2.5,1372.0,1353.03,-0.596,34.915
1987-06-16 01:45:00,80.0,2.5,1568.0,1545.6,-0.79,34.917
1987-06-16 01:45:00,80.0,2.5,1765.0,1738.98,-0.87,34.913
1987-06-16 01:45:00,80.0,2.5,1964.0,1934.14,-0.918,34.911
1987-06-16 01:45:00,80.0,2.5,2159.0,2125.21,-0.885,34.918
1987-06-16 01:45:00,80.0,2.5,2356.0,2318.06,-0.898,34.918
1987-06-16 01:45:00,80.0,2.5,2553.0,2510.74,-0.916,34.915
1987-06-16 01:45:00,80.0,2.5,2629.0,2585.02,-0.909,34.916
1987-06-16 09:42:00,80.0,3.982,4.0,3.96,1.285,34.226
1987-06-16 09:42:00,80.0,3.982,18.0,17.81,2.046,34.816
1987-06-16 09:42:00,80.0,3.982,67.0,66.28,2.638,35.005
1987-06-16 09:42:00,80.0,3.982,92.0,91.01,2.208,34.983
1987-06-16 09:42:00,80.0,3.982,139.0,137.48,1.917,34.982
1987-06-16 09:42:00,80.0,3.982,191.0,188.89,1.764,34.985
1987-06-16 09:42:00,80.0,3.982,288.0,284.75,1.532,34.978
1987-06-16 09:42:00,80.0,3.982,387.0,382.55,1.6,35.0
1987-06-16 09:42:00,80.0,3.982,584.0,577.01,1.003,34.965
1987-06-16 09:42:00,80.0,3.982,781.0,771.28,0.032,34.911
1987-06-16 09:42:00,80.0,3.982,978.0,965.38,-0.633,34.91
1987-06-16 09:42:00,80.0,3.982,1174.0,1158.31,-0.825,34.913
1987-06-16 09:42:00,80.0,3.982,1372.0,1353.03,-0.88,34.914
1987-06-16 09:42:00,80.0,3.982,1570.0,1547.56,-0.948,34.911
1987-06-16 09:42:00,80.0,3.982,1764.0,1738.0,-0.96,34.914
1987-06-16 13:25:00,80.0,4.482,18.0,17.81,2.223,34.846
1987-06-16 13:25:00,80.0,4.482,92.0,91.01,1.667,34.931
1987-06-16 13:25:00,80.0,4.482,140.0,138.47,1.934,34.987
1987-06-16 13:25:00,80.0,4.482,191.0,188.89,1.908,35.0
1987-06-16 13:25:00,80.0,4.482,289.0,285.74,1.61,34.989
1987-06-16 13:25:00,80.0,4.482,387.0,382.55,1.43,34.982
1987-06-16 13:25:00,80.0,4.482,585.0,577.99,0.995,34.962
1987-06-16 13:25:00,80.0,4.482,979.0,966.36,-0.687,34.91
1987-06-16 13:25:00,80.0,4.482,1176.0,1160.28,-0.915,34.91
1987-06-16 13:25:00,80.0,4.482,1349.0,1330.42,-0.987,34.906
1987-06-16 16:04:00,80.0,5.432,4.0,3.96,1.721,34.295
1987-06-16 16:04:00,80.0,5.432,44.0,43.53,1.834,34.898
1987-06-16 16:04:00,80.0,5.432,94.0,92.98,2.173,34.997
1987-06-16 16:04:00,80.0,5.432,143.0,141.44,2.01,34.997
1987-06-16 16:04:00,80.0,5.432,290.0,286.73,1.701,34.997
1987-06-16 16:04:00,80.0,5.432,389.0,384.52,1.599,35.0
1987-06-16 16:04:00,80.0,5.432,592.0,584.9,0.976,34.961
1987-06-16 16:04:00,80.0,5.432,783.0,773.26,0.095,34.918
1987-06-16 16:04:00,80.0,5.432,966.0,953.56,-0.88,34.91
1987-06-15 11:30:00,80.01,-1.165,10.0,9.89,0.24,34.13
1987-06-15 11:30:00,80.01,-1.165,23.0,22.76,0.42,34.53
1987-06-15 11:30:00,80.01,-1.165,50.01,49.47,1.38,34.86
1987-06-15 11:30:00,80.01,-1.165,100.0,98.92,1.33,34.92
1987-06-15 11:30:00,80.01,-1.165,151.0,149.35,1.88,35.0
1987-06-15 11:30:00,80.01,-1.165,200.0,197.79,1.69,34.99
1987-06-15 11:30:00,80.01,-1.165,399.0,394.4,1.36,34.98
1987-06-15 11:30:00,80.01,-1.165,600.0,592.79,0.87,34.95
1987-06-15 11:30:00,80.01,-1.165,800.0,790.01,0.04,34.91
1987-06-15 11:30:00,80.01,-1.165,1000.0,987.04,-0.44,34.91
1987-06-15 11:30:00,80.01,-1.165,1200.0,1183.89,-0.6,34.92
1987-06-15 11:30:00,80.01,-1.165,1400.0,1380.55,-0.66,34.92
1987-06-15 11:30:00,80.01,-1.165,1600.0,1577.02,-0.77,34.92
1987-06-15 11:30:00,80.01,-1.165,1799.0,1772.33,-0.83,34.92
1987-06-15 11:30:00,80.01,-1.165,1999.0,1968.45,-0.86,34.92
1987-06-15 11:30:00,80.01,-1.165,2198.0,2163.4,-0.87,34.92
1987-06-15 11:30:00,80.01,-1.165,2399.0,2360.13,-0.9,34.92
1987-06-15 11:30:00,80.01,-1.165,2599.0,2555.7,-0.87,34.92
1987-06-15 11:30:00,80.01,-1.165,2753.0,2706.17,-0.83,34.925
1987-06-15 16:36:00,80.013,0.043,9.0,8.9,1.62,34.36
1987-06-15 16:36:00,80.013,0.043,24.0,23.74,2.75,34.93
1987-06-15 16:36:00,80.013,0.043,50.01,49.47,1.99,34.94
1987-06-15 16:36:00,80.013,0.043,100.0,98.92,1.58,34.95
1987-06-15 16:36:00,80.013,0.043,150.0,148.36,1.85,35.0
1987-06-15 16:36:00,80.013,0.043,199.0,196.8,1.76,35.0
1987-06-15 16:36:00,80.013,0.043,299.0,295.62,1.49,34.99
1987-06-15 16:36:00,80.013,0.043,400.0,395.39,1.41,34.99
1987-06-15 16:36:00,80.013,0.043,600.0,592.79,0.54,34.93
1987-06-15 16:36:00,80.013,0.043,800.0,790.01,-0.11,34.91
1987-06-15 16:36:00,80.013,0.043,1000.0,987.04,-0.52,34.91
1987-06-15 16:36:00,80.013,0.043,1199.0,1182.9,-0.65,34.91
1987-06-15 16:36:00,80.013,0.043,1399.0,1379.56,-0.76,34.91
1987-06-15 16:36:00,80.013,0.043,1600.0,1577.02,-0.84,34.91
1987-06-15 16:36:00,80.013,0.043,1799.0,1772.33,-0.86,34.92
1987-06-15 16:36:00,80.013,0.043,1999.0,1968.45,-0.89,34.92
1987-06-15 16:36:00,80.013,0.043,2199.0,2164.38,-0.89,34.92
1987-06-15 16:36:00,80.013,0.043,2399.0,2360.13,-0.9,34.92
1987-06-15 16:36:00,80.013,0.043,2607.0,2563.52,-0.88,34.92
1987-03-21 18:00:00,71.6533,-131.6783,0.0,0.0,-1.677,30.672
1987-03-21 18:00:00,71.6533,-131.6783,3.84,3.8,-1.676,30.67
1987-03-21 18:00:00,71.6533,-131.6783,4.04,4.0,-1.677,30.67
1987-03-21 18:00:00,71.6533,-131.6783,4.34,4.3,-1.677,30.672
1987-03-21 18:00:00,71.6533,-131.6783,4.55,4.5,-1.677,30.672
1987-03-21 18:00:00,71.6533,-131.6783,4.85,4.8,-1.677,30.671
1987-03-21 18:00:00,71.6533,-131.6783,4.95,4.9,-1.677,30.672
1987-03-21 18:00:00,71.6533,-131.6783,5.25,5.2,-1.677,30.672
1987-03-21 18:00:00,71.6533,-131.6783,5.46,5.4,-1.677,30.673
1987-03-21 18:00:00,71.6533,-131.6783,5.76,5.7,-1.677,30.673
1987-03-21 18:00:00,71.6533,-131.6783,5.96,5.9,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,6.26,6.2,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,6.47,6.4,-1.677,30.673
1987-03-21 18:00:00,71.6533,-131.6783,6.77,6.7,-1.677,30.673
1987-03-21 18:00:00,71.6533,-131.6783,6.97,6.9,-1.677,30.673
1987-03-21 18:00:00,71.6533,-131.6783,7.27,7.2,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,7.48,7.4,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,7.78,7.7,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,7.98,7.9,-1.677,30.674
1987-03-21 18:00:00,71.6533,-131.6783,8.28,8.2,-1.677,30.676
