Unnamed: 0,X_meters,Y_meters,Longitude,Latitude,Depth,Surf_DH,Surf_DH_err,Datetime,ug,vg
0,3154258.5604359005,2454258.5604359005,-9.66112078519696,82.29826584848156,2.98035009765625,0.1829865832423039,0.0366841360135103,2012-10-01,,
1,3204258.5604359005,2454258.5604359005,-6.3319715401161325,82.36098659107931,4.15553125,0.1718691477579474,0.0347582721806504,2012-10-01,,
2,3254258.5604359005,2454258.5604359005,-2.959381432352602,82.39750272677502,2.12167626953125,0.2036412829261736,0.0419590394783351,2012-10-01,,
3,3304258.5604359005,2454258.5604359005,0.4338359885063168,82.40743842302005,3.602186279296875,0.1584839133826948,0.0361262295001217,2012-10-01,,
4,3354258.5604359005,2454258.5604359005,3.824016402592358,82.39069017210502,3.3379677734375,0.1602085499113077,0.0312821231020635,2012-10-01,,
5,3404258.5604359005,2454258.5604359005,7.1876217159036075,82.34743214299212,3.1387919921875,0.1588810088078027,0.0331060690830962,2012-10-01,,
6,3454258.5604359005,2454258.5604359005,10.502204164960911,82.2781072020856,0.7111090698242187,0.1501805226879845,0.052487476680897,2012-10-01,,
7,3504258.5604359005,2454258.5604359005,13.747261086609452,82.18340465940328,1.6007415771484377,0.1423630938752089,0.0469981502224383,2012-10-01,,
8,3554258.5604359005,2454258.5604359005,16.904903797575077,82.06422726752285,2.5225,0.1391994714235833,0.0429253939210671,2012-10-01,,
9,3104258.5604359005,2504258.5604359005,-13.710246656441964,82.64850493550162,2.946527099609375,0.180283647830871,0.0341553659561084,2012-10-01,,
10,3154258.5604359005,2504258.5604359005,-10.257249739444704,82.74210246392259,3.152333251953125,0.1675962029743034,0.0362046917208528,2012-10-01,0.009031183807575371,0.0103661951759336
11,3204258.5604359005,2504258.5604359005,-6.727355614890584,82.80867062273856,3.925069580078125,0.1955380375323015,0.0631269468750076,2012-10-01,-0.014613951209963814,0.007970125904008777
12,3254258.5604359005,2504258.5604359005,-3.1454682011948267,82.84745884896145,2.607978271484375,0.1793263629168076,0.0394577871457724,2012-10-01,0.028937445986955572,-0.024517107500626956
13,3304258.5604359005,2504258.5604359005,0.4611678408200595,82.85801691659958,3.633917724609375,0.159451551589102,0.06096651042546,2012-10-01,0.005870949563938154,-0.02721499727461428
14,3354258.5604359005,2504258.5604359005,4.064157641904053,82.84022058849787,3.977793701171875,0.1392679639736867,0.0661872749172175,2012-10-01,0.003043624107606682,0.0022987666127554968
15,3404258.5604359005,2504258.5604359005,7.635277265943614,82.79427885464321,3.934968505859375,0.1628350301268712,0.0307971729584464,2012-10-01,-0.0019222432454814161,0.009475311238182257
16,3454258.5604359005,2504258.5604359005,11.14777520386314,82.72072179574464,3.189556640625,0.1532129666401847,0.0400678752099289,2012-10-01,-0.0055521618619172805,-0.008642574603315988
17,3504258.5604359005,2504258.5604359005,14.577508069820889,82.62037067655048,1.4141754150390624,0.1501176357978715,0.0465798425877894,2012-10-01,-0.011786819685909436,-0.015545949585687405
18,3554258.5604359005,2504258.5604359005,17.903798097921342,82.49429406867304,1.874598876953125,0.1303424783771078,0.0448982033844409,2012-10-01,-0.0014381839038082544,0.008542941675962479
19,3604258.560435901,2504258.5604359005,21.10995280168372,82.34375516373922,3.876100341796875,0.1626820453118944,0.0296920533818879,2012-10-01,,
20,3654258.560435901,2504258.5604359005,24.183443716854494,82.17015577536235,3.893466552734375,0.1656060857489796,0.0330314977003182,2012-10-01,,
21,3104258.5604359005,2554258.5604359005,-14.5939171890007,83.08537816179347,3.04959228515625,0.1704661168325975,0.037008397135825,2012-10-01,,
22,3154258.5604359005,2554258.5604359005,-10.930831526997938,83.18494129451612,3.498279052734375,0.1696967314762632,0.0349573872223189,2012-10-01,0.0022586178803607644,0.015554826401310815
23,3204258.5604359005,2554258.5604359005,-7.17513041724736,83.25585651798701,2.394952392578125,0.1933774635799856,0.0364628804304135,2012-10-01,0.02467596716732092,-0.005870517244762607
24,3254258.5604359005,2554258.5604359005,-3.356499069882729,83.29721892191617,3.241247314453125,0.1610485448630206,0.036593353851151,2012-10-01,0.012845199883501053,-0.02954980951966538
25,3304258.5604359005,2554258.5604359005,0.4921749904312472,83.30848302596334,3.5222607421875,0.1498423236946977,0.0348240248155598,2012-10-01,0.0017503675382949976,-0.0036107756173002037
26,3354258.5604359005,2554258.5604359005,4.336419246606751,83.28949795599125,3.5107275390625,0.155728740265569,0.0534823850562306,2012-10-01,-0.014756050313219672,0.008055410716082482
27,3404258.5604359005,2554258.5604359005,8.141997194313214,83.2405174229676,4.01499560546875,0.1617100121523977,0.0637387401153341,2012-10-01,-0.0015593365720052395,0.0017796975331181224
28,3454258.5604359005,2554258.5604359005,11.876698596713728,83.16218300449302,3.787304443359375,0.1583504298067896,0.0361920761139875,2012-10-01,-3.27698484950648e-05,-0.0013624330769737333
29,3504258.5604359005,2554258.5604359005,15.511871812798429,83.05548322945884,4.02083349609375,0.1597033225823558,0.0393481731979733,2012-10-01,-0.004405479181257979,-0.011568937549278069
30,3554258.5604359005,2554258.5604359005,19.02353013027208,82.92169431642624,4.026392822265625,0.1413146598691239,0.0695448448236644,2012-10-01,-0.014452169633250937,0.004248445598647887
31,3604258.560435901,2554258.5604359005,22.392954133738556,82.7623103280922,3.99450048828125,0.1659575681823999,0.0456784799823516,2012-10-01,0.006820703595614761,0.009345586389901234
32,3654258.560435901,2554258.5604359005,25.606804452822978,82.57897071734358,3.996781982421875,0.1550677816603531,0.0365209314514511,2012-10-01,0.008915927701148133,-0.003199983833104859
