Unnamed: 0,X_meters,Y_meters,Longitude,Latitude,Depth,Surf_DH,Surf_DH_err,Datetime,ug,vg,hFW,hFW_err,D_Siso,D_Siso_err
0,3154258.5604359005,2454258.5604359005,-9.66112078519696,82.29826584848156,2.98035009765625,0.2324875214615073,0.0465375982269637,2012-01-01,,,4.394312133304181,,82.41100209705574,
1,3204258.5604359005,2454258.5604359005,-6.3319715401161325,82.36098659107931,4.15553125,0.2112774659503151,0.0434654340645442,2012-01-01,,,4.153658361910576,,79.3763669394557,
2,3254258.5604359005,2454258.5604359005,-2.959381432352602,82.39750272677502,2.12167626953125,0.2353055008709456,0.0539413404095361,2012-01-01,,,4.880280540962888,,85.06782114857481,
3,3304258.5604359005,2454258.5604359005,0.4338359885063168,82.40743842302005,3.602186279296875,0.2052147102219798,0.0469495162750171,2012-01-01,,,3.805257681378982,,73.94605319523333,
4,3354258.5604359005,2454258.5604359005,3.824016402592358,82.39069017210502,3.3379677734375,0.2084367965867029,0.0479513051863279,2012-01-01,,,3.870353845915411,,75.64596550469983,
5,3404258.5604359005,2454258.5604359005,7.1876217159036075,82.34743214299212,3.1387919921875,0.2130917606794811,0.0478140769684144,2012-01-01,,,3.643040796530938,,73.6955022123199,
6,3454258.5604359005,2454258.5604359005,10.502204164960911,82.2781072020856,0.7111090698242187,0.200721699993232,0.0626402852478001,2012-01-01,,,3.2924334652594345,2.4143227846756505,74.05661751321506,
7,3504258.5604359005,2454258.5604359005,13.747261086609452,82.18340465940328,1.6007415771484377,0.2128123977427532,0.056489334138066,2012-01-01,,,3.988195388828907,1.0682307322559397,77.12036594184659,
8,3554258.5604359005,2454258.5604359005,16.904903797575077,82.06422726752285,2.5225,0.2072981091335032,0.0603041366997333,2012-01-01,,,3.58138837422975,,61.33920265771902,
9,3104258.5604359005,2504258.5604359005,-13.710246656441964,82.64850493550162,2.946527099609375,0.2288691058728535,0.0537967724567975,2012-01-01,,,4.860260210397478,,87.13644336188237,
10,3154258.5604359005,2504258.5604359005,-10.257249739444704,82.74210246392259,3.152333251953125,0.2282660548952752,0.0652506982919103,2012-01-01,0.0159665971802386,-0.0146385619210648,4.478851544657611,,83.19934994764864,
11,3204258.5604359005,2504258.5604359005,-6.727355614890584,82.80867062273856,3.925069580078125,0.2073277086270377,0.0449277787355062,2012-01-01,-0.0171897848538131,-0.0002663755647045,4.1897192292042815,,82.24031529369509,
12,3254258.5604359005,2504258.5604359005,-3.1454682011948267,82.84745884896145,2.607978271484375,0.2278740124085702,0.053760084132775,2012-01-01,0.0109791776912078,-8.868164561164893e-05,4.5924786899103935,,84.10124599335995,
13,3304258.5604359005,2504258.5604359005,0.4611678408200595,82.85801691659958,3.633917724609375,0.2071971789975656,0.0456206421670664,2012-01-01,0.0002187508693176,-0.0144933938802695,3.762506488984263,,76.28779026842847,
14,3354258.5604359005,2504258.5604359005,4.064157641904053,82.84022058849787,3.977793701171875,0.2065408427507808,0.0522048413328346,2012-01-01,-0.0025034384340157,-8.447878588949335e-05,3.5420910457456793,,74.69739478992597,
15,3404258.5604359005,2504258.5604359005,7.635277265943614,82.79427885464321,3.934968505859375,0.2070728374670388,0.0551721418045483,2012-01-01,-0.0043284142509863,0.0109944845836339,3.69090163972661,,73.11212523228026,
16,3454258.5604359005,2504258.5604359005,11.14777520386314,82.72072179574464,3.189556640625,0.2227216428302259,0.0612921151580871,2012-01-01,-0.0094319765695221,0.0126807104146751,3.8623610248090334,,76.41107527222715,
17,3504258.5604359005,2504258.5604359005,14.577508069820889,82.62037067655048,1.4141754150390624,0.2257322765945186,0.0581450077492284,2012-01-01,0.0037273821091865,-0.0127848122409736,4.0940801514031175,1.3653039428334957,75.38159220268412,
18,3554258.5604359005,2504258.5604359005,17.903798097921342,82.49429406867304,1.874598876953125,0.2039132132331026,0.0605866155398334,2012-01-01,-0.0064015360079261,-0.0076818302946788,3.458954474322319,,59.78586773333226,
19,3604258.560435901,2504258.5604359005,21.10995280168372,82.34375516373922,3.876100341796875,0.2144343343516087,0.0553195369156855,2012-01-01,,,4.050481437010708,,74.03325982199618,
20,3654258.560435901,2504258.5604359005,24.183443716854494,82.17015577536235,3.893466552734375,0.2087504174905915,0.0530678664222803,2012-01-01,,,3.948423699153736,,68.38440151858042,
21,3104258.5604359005,2554258.5604359005,-14.5939171890007,83.08537816179347,3.04959228515625,0.2376311941270987,0.0514820097186619,2012-01-01,,,4.742385846576745,,85.40548665167796,
22,3154258.5604359005,2554258.5604359005,-10.930831526997938,83.18494129451612,3.498279052734375,0.2089918519839947,0.0444159259950594,2012-01-01,0.005018558128366,-0.0007158384887714,4.129429017016716,,77.56877183185344,
23,3204258.5604359005,2554258.5604359005,-7.17513041724736,83.25585651798701,2.394952392578125,0.2365768060286249,0.0527630018834661,2012-01-01,-0.0124467598488194,0.0068923508793377,4.569323169699871,,87.84990685982947,
24,3254258.5604359005,2554258.5604359005,-3.356499069882729,83.29721892191617,3.241247314453125,0.219145358757463,0.0479025868181347,2012-01-01,-0.0118135500158072,-0.0215058121516079,4.58271287404927,,81.10858075888758,
25,3304258.5604359005,2554258.5604359005,0.4921749904312472,83.30848302596334,3.5222607421875,0.2048927256373825,0.0517360383963907,2012-01-01,-0.0179896891978613,-0.0047673721656912,3.6875547364775825,,72.69322209045674,
26,3354258.5604359005,2554258.5604359005,4.336419246606751,83.28949795599125,3.5107275390625,0.2121215248079666,0.0556965119041436,2012-01-01,-0.0028982673994636,0.0098891435386289,4.017318366800672,,77.25180805081251,
